x_mm,z_mm,initial_top_y_mm,u2_mm,full_thickness_mm,full_thickness_um
131.0,0.0,0.0825,-0.0117951585,0.14140969514846802,141.40969514846802
131.5,0.0,0.0825,-0.01179634,0.1414073258638382,141.4073258638382
132.0,0.0,0.0825,-0.011797531,0.14140494167804718,141.40494167804718
132.5,0.0,0.0825,-0.011798722,0.14140255749225616,141.40255749225616
133.0,0.0,0.0825,-0.011799921,0.14140015840530396,141.40015840530396
133.5,0.0,0.0825,-0.011801122,0.14139775931835175,141.39775931835175
134.0,0.0,0.0825,-0.011802332,0.14139534533023834,141.39534533023834
134.5,0.0,0.0825,-0.011803541,0.14139291644096375,141.39291644096375
135.0,0.0,0.0825,-0.011804751,0.14139050245285034,141.39050245285034
135.5,0.0,0.0825,-0.01180597,0.14138805866241455,141.38805866241455
136.0,0.0,0.0825,-0.011807199,0.14138561487197876,141.38561487197876
136.5,0.0,0.0825,-0.011808428,0.14138315618038177,141.38315618038177
137.0,0.0,0.0825,-0.011809656,0.1413806974887848,141.3806974887848
137.5,0.0,0.0825,-0.011810895,0.1413782238960266,141.3782238960266
138.0,0.0,0.0825,-0.011812143,0.14137572050094604,141.37572050094604
138.5,0.0,0.0825,-0.01181339,0.14137323200702667,141.37323200702667
139.0,0.0,0.0825,-0.011814638,0.1413707286119461,141.3707286119461
139.5,0.0,0.0825,-0.011815895,0.14136821031570435,141.36821031570435
140.0,0.0,0.0825,-0.011817153,0.14136570692062378,141.36570692062378
140.5,0.0,0.0825,-0.01181842,0.14136317372322083,141.36317372322083
141.0,0.0,0.0825,-0.011819687,0.14136064052581787,141.36064052581787
141.5,0.0,0.0825,-0.011820964,0.14135807752609253,141.35807752609253
142.0,0.0,0.0825,-0.0118222395,0.14135552942752838,141.35552942752838
142.5,0.0,0.0825,-0.011823526,0.14135295152664185,141.35295152664185
143.0,0.0,0.0825,-0.011824811,0.1413503885269165,141.3503885269165
143.5,0.0,0.0825,-0.011826107,0.14134779572486877,141.34779572486877
144.0,0.0,0.0825,-0.011827402,0.14134520292282104,141.34520292282104
144.5,0.0,0.0825,-0.011828697,0.14134261012077332,141.34261012077332
145.0,0.0,0.0825,-0.011830002,0.1413400024175644,141.3400024175644
145.5,0.0,0.0825,-0.011831317,0.14133736491203308,141.33736491203308
146.0,0.0,0.0825,-0.011832631,0.14133474230766296,141.33474230766296
146.5,0.0,0.0825,-0.011833946,0.14133211970329285,141.33211970329285
147.0,0.0,0.0825,-0.01183527,0.14132946729660034,141.32946729660034
147.5,0.0,0.0825,-0.011836604,0.14132679998874664,141.32679998874664
