initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-28.75,-50.0,-28.72964096069336,150.00017061819864,149.99991655349731,0.0
-28.75,-45.0,-28.729656219482422,149.9999346832292,149.9996781349182,0.0
-28.75,-40.0,-28.729646682739258,150.0001768270086,149.99991655349731,0.0
-28.75,-35.0,-28.72965431213379,149.99998435377992,149.9997228384018,0.0
-28.75,-30.0,-28.72964096069336,150.00014578295617,149.99988675117493,0.0
-28.75,-25.0,-28.72964096069336,149.99996572732536,149.9997079372406,0.0
-28.75,-20.0,-28.72963523864746,150.00004023312982,149.99978244304657,0.0
-28.75,-15.0,-28.729633331298828,149.99990363912667,149.99964833259583,0.0
-28.75,-10.0,-28.729631423950195,149.99999677141503,149.999737739563,0.0
-28.75,-5.0,-28.72962760925293,149.99989122148386,149.99963343143463,0.0
-28.75,0.0,-28.729637145996094,149.99995330968767,149.9996930360794,0.0
-28.75,5.0,-28.72962760925293,149.9998477597259,149.99958872795105,0.0
-28.75,10.0,-28.729629516601562,149.99995330968767,149.9996930360794,0.0
-28.75,15.0,-28.729631423950195,149.99986638619512,149.99960362911224,0.0
-28.75,20.0,-28.729631423950195,149.99999677141503,149.999737739563,0.0
-28.75,25.0,-28.729637145996094,149.99990363912667,149.99964833259583,0.0
-28.75,30.0,-28.729633331298828,150.0001085300848,149.99985694885254,0.0
-28.75,35.0,-28.729646682739258,149.99994089204895,149.9996781349182,0.0
-28.75,40.0,-28.729637145996094,150.0001333653334,149.99987185001373,0.0
-28.75,45.0,-28.729644775390625,149.9999346832292,149.9996781349182,0.0
-28.75,50.0,-28.729629516601562,150.00012715652161,149.99987185001373,0.0
-27.5,-50.0,-27.479642868041992,150.00008369483203,149.99966323375702,0.0
-27.5,-45.0,-27.479656219482422,149.9998415509023,149.99942481517792,0.0
-27.5,-40.0,-27.47964859008789,150.0000712772041,149.99964833259583,0.0
-27.5,-35.0,-27.479656219482422,149.99981671560533,149.99939501285553,0.0
-27.5,-30.0,-27.479642868041992,150.0000526507603,149.99963343143463,0.0
-27.5,-25.0,-27.479642868041992,149.99987880384,149.9994546175003,0.0
-27.5,-20.0,-27.479637145996094,150.0001147388973,149.9996930360794,0.0
