"Z_distance_from_center_mm","initial_thickness_um","D850_R425_hold_thickness_um","D900_R450_hold_thickness_um","D950_R475_hold_thickness_um","D850_minus_D900_um","D950_minus_D900_um"
"-9.5","150","146.8160003","146.8890905","146.9589919","-0.0730901999999958","0.069901399999992"
"-9","150","146.816209","146.8892992","146.9591707","-0.0730902000000242","0.0698714999999765"
"-8.5","150","146.8164325","146.8895078","146.9593644","-0.0730752999999993","0.0698566000000085"
"-8","150","146.8166411","146.8897164","146.9595581","-0.0730752999999993","0.069841700000012"
"-7.5","150","146.816805","146.8898803","146.9597071","-0.0730752999999993","0.0698268000000155"
"-7","150","146.8169689","146.8900293","146.9598562","-0.0730604000000028","0.0698268999999812"
"-6.5","150","146.8171328","146.8901932","146.9600052","-0.0730604000000028","0.0698120000000131"
"-6","150","146.8172967","146.8903422","146.9601393","-0.0730454999999779","0.0697971000000166"
"-5.5","150","146.817416","146.8904614","146.9602436","-0.0730453999999838","0.0697822000000201"
"-5","150","146.8175352","146.8905658","146.9603479","-0.0730305999999814","0.0697820999999976"
"-4.5","150","146.8176395","146.890685","146.9604522","-0.0730454999999779","0.0697672000000011"
"-4","150","146.8177587","146.8907893","146.9605565","-0.0730305999999814","0.0697672000000011"
"-3.5","150","146.8178332","146.8908638","146.9606161","-0.0730306000000098","0.0697523000000047"
"-3","150","146.8178928","146.8909234","146.9606757","-0.0730305999999814","0.0697523000000047"
"-2.5","150","146.8179673","146.8909979","146.9607353","-0.0730306000000098","0.0697374000000082"
"-2","150","146.8180418","146.8910575","146.9608098","-0.0730156999999849","0.0697523000000047"
"-1.5","150","146.8180567","146.8910873","146.9608247","-0.0730306000000098","0.0697373999999797"
"-1","150","146.8180865","146.8911022","146.9608396","-0.0730157000000133","0.0697374000000082"
"-0.5","150","146.8181014","146.891132","146.9608694","-0.0730306000000098","0.0697374000000082"
"0","150","146.8181312","146.8911469","146.9608843","-0.0730156999999849","0.0697374000000082"
"0.5","150","146.8181014","146.891132","146.9608694","-0.0730306000000098","0.0697374000000082"
"1","150","146.8180865","146.8911022","146.9608396","-0.0730157000000133","0.0697374000000082"
"1.5","150","146.8180567","146.8910873","146.9608247","-0.0730306000000098","0.0697373999999797"
"2","150","146.8180418","146.8910575","146.9608098","-0.0730156999999849","0.0697523000000047"
"2.5","150","146.8179673","146.8909979","146.9607353","-0.0730306000000098","0.0697374000000082"
"3","150","146.8178928","146.8909234","146.9606757","-0.0730305999999814","0.0697523000000047"
"3.5","150","146.8178332","146.8908638","146.9606161","-0.0730306000000098","0.0697523000000047"
"4","150","146.8177587","146.8907893","146.9605565","-0.0730305999999814","0.0697672000000011"
