x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-1.00000000,-12.50000000,-0.78332919,0.130406424,0.130406424,0.150000006,0.000000000,0.000000,13.062388,13.062388,1,53,145
-1.00000000,-10.00000000,-0.78332961,0.130406603,0.130406603,0.150000006,0.000000000,0.000000,13.062268,13.062268,1,52,146
-1.00000000,-7.50000000,-0.78333038,0.130409345,0.130409345,0.150000006,0.000000000,0.000000,13.060440,13.060440,1,51,147
-1.00000000,-5.00000000,-0.78332990,0.130411014,0.130411014,0.150000006,0.000000000,0.000000,13.059327,13.059327,1,50,148
-1.00000000,-2.50000000,-0.78332877,0.130409539,0.130409539,0.150000006,0.000000000,0.000000,13.060310,13.060310,1,49,149
-1.00000000,0.00000000,-0.78332710,0.130410060,0.130410060,0.150000006,0.000000000,0.000000,13.059963,13.059963,1,48,150
-1.00000000,2.50000000,-0.78332502,0.130413234,0.130413234,0.150000006,0.000000000,0.000000,13.057847,13.057847,1,47,151
-1.00000000,5.00000000,-0.78332263,0.130415142,0.130415142,0.150000006,0.000000000,0.000000,13.056576,13.056576,1,46,152
-1.00000000,7.50000000,-0.78332043,0.130413353,0.130413353,0.150000006,0.000000000,0.000000,13.057768,13.057768,1,45,153
-1.00000000,10.00000000,-0.78331900,0.130409598,0.130409598,0.150000006,0.000000000,0.000000,13.060272,13.060272,1,44,154
-1.00000000,12.50000000,-0.78331774,0.130406499,0.130406499,0.150000006,0.000000000,0.000000,13.062337,13.062337,1,43,155
-1.00000000,15.00000000,-0.78331625,0.130404741,0.130404741,0.150000006,0.000000000,0.000000,13.063510,13.063510,1,42,156
-1.00000000,17.50000000,-0.78331554,0.130403817,0.130403817,0.150000006,0.000000000,0.000000,13.064125,13.064125,1,41,157
-1.00000000,20.00000000,-0.78331542,0.130403206,0.130403206,0.150000006,0.000000000,0.000000,13.064533,13.064533,1,40,158
-1.00000000,22.49999809,-0.78331566,0.130403027,0.130403027,0.150000006,0.000000000,0.000000,13.064653,13.064653,1,39,159
-1.00000000,25.00000000,-0.78331554,0.130402833,0.130402833,0.150000006,0.000000000,0.000000,13.064781,13.064781,1,38,160
-1.00000000,27.50000191,-0.78331470,0.130402818,0.130402818,0.150000006,0.000000000,0.000000,13.064791,13.064791,1,37,161
